"id","name","short_description","parent_id","category","category_name","updated"
"aws_snowball","AWS Snowball","Data transport service by Amazon",,"file_transfer","File Transfer","2020-05-20T20:02:47.436Z"
"aws_sso","AWS Single Sign-On","Cloud single sign-on management service by Amazon",,"cloud","Cloud","2020-05-20T20:03:21.234Z"
"aws_step_fn","AWS Step Functions","State machine functions by Amazon",,"productivity","Productivity","2020-05-30T20:02:05.013Z"
"aws_storage_gw","AWS Storage Gateway","Hybrid cloud storage service by Amazon",,"file_transfer","File Transfer","2020-05-20T20:06:24.770Z"
"aws_sts","AWS Security Token Service","User authentication token service by Amazon",,"cloud","Cloud","2020-05-20T20:06:45.975Z"
"aws_support","AWS Support","Support center API by Amazon",,"cloud","Cloud","2020-05-20T20:07:15.110Z"
"aws_systems_mgr","AWS Systems Manager","Unified user interface for cloud services by Amazon",,"remoting","Remoting","2020-05-20T20:08:06.693Z"
"aws_transfer","AWS Transfer for SFTP","Managed transfer of Secure Shell File Transfer protocol by Amazon",,"file_transfer","File Transfer","2020-05-20T20:08:48.574Z"
"aws_waf","AWS Web Application Firewall","Cloud web application firewall by Amazon",,"cloud","Cloud","2020-05-20T20:09:16.538Z"
"aws_xray","AWS X-Ray","Developer tool for analysis and debugging of distributed applications by Amazon",,"cloud","Cloud","2020-05-20T20:09:36.793Z"
"ayiya","Ayiya","IP tunneling management protocol",,"networking","Networking","2020-05-20T20:10:22.767Z"
"azar","Azar","Random video conversation service",,"social","Social","2020-05-20T20:11:06.903Z"
"azuredesk","AzureDesk","Customer service and support ticket help desk application",,"business","Business","2020-05-30T20:02:28.260Z"
"babbel","Babbel","Language learning application",,"education","Education","2020-05-30T20:02:43.276Z"
"backblaze","Backblaze","Data storage provider",,"file_transfer","File Transfer","2020-05-20T20:12:12.129Z"
"bacnet","BACnet","Building Automation and Control network protocol",,"networking","Networking","2020-05-20T20:12:46.667Z"
"badoo","Badoo","Dating social network",,"social","Social","2020-05-20T20:13:01.911Z"
"baidu","Baidu","Search engine, encyclopedia and keyword discussion forum",,"other","Other","2020-06-03T23:05:01.583Z"
"baidu_wangpan","Baidu WangPan","Cloud storage service",,"file_transfer","File Transfer","2020-05-20T20:15:12.803Z"
"ballz","Ballz","Mobile puzzle game",,"gaming","Gaming","2020-05-20T20:15:56.145Z"
